virus_type,host,location,country,sequence,lab_id,date,strain_name
A,Sus scrofa,Yunnan,China,544,MN.26A,2024-04-11,A/Wild Boar/CN/53HGR.1-544-MN.26A-04/2024
A,Columba livia,Rio Grande do Sul,Brazil,003,MN.26A,2023-07-23,A/Rock Pigeon/BR-RS/XBFW.1-003-MN.26A-07/2023
A,Columba livia,Sichuan,China,859,MN.26A,2023-10-02,A/Rock Pigeon/CN-SC/XBFW.1-859-MN.26A-10/2023
A,Mustela putorius furo,São Paulo,Brazil,071,MN.26A,2023-01-10,A/Feral Ferret/BR-SP/5JSGR.1-071-MN.26A-01/2023
A,Bos taurus,Rio Grande do Sul,Brazil,053,MN.26A,2024-01-10,A/Domestic Cattle/BR-RS/MLQ5.1-053-MN.26A-01/2024
A,Phasianus colchicus,Alberta,Canada,205,MN.26A,2023-01-08,A/Ring-necked Pheasant/CA-AB/4FWMN.1-205-MN.26A-01/2023
A,Sus scrofa,Georgia,USA,604,MN.26A,2024-07-26,A/Wild Boar/US-GA/53HGR.1-604-MN.26A-07/2024
A,Falco peregrinus,Guangdong,China,980,MN.26A,2023-03-29,A/Peregrine Falcon/CN-GD/3DTGL.1-980-MN.26A-03/2023
A,Gallus gallus domesticus,Yunnan,China,479,MN.26A,2026-04-14,A/Chicken/CN/3F72J.1-479-MN.26A-04/2026
A,Columba livia,,Vietnam,043,MN.26A,2024-10-24,A/Rock Pigeon/VN/XBFW.1-043-MN.26A-10/2024
A,Anas platyrhynchos,Hubei,China,791,MN.26A,2023-05-04,A/Wild Duck/CN/DGP6.1-791-MN.26A-05/2023
A,Columba livia,Iowa,USA,333,MN.26A,2026-03-24,A/Rock Pigeon/US-IA/XBFW.1-333-MN.26A-03/2026
A,Anas platyrhynchos,Western Cape,South Africa,179,MN.26A,2023-05-02,A/Wild Duck/ZA-WC/DGP6.1-179-MN.26A-05/2023
A,Cygnus olor,Alaska,USA,809,MN.26A,2023-05-11,A/Mute Swan/US-AK/32ZQB.1-809-MN.26A-05/2023
A,Homo sapiens,Minnesota,USA,804,MN.26A,2025-09-07,A/US-MN/6MB3T.1-804-MN.26A-09/2025
A,Canis lupus familiaris,Brittany,France,548,MN.26A,2025-07-09,A/Domestic Dog/FR/5G6ZJ.1-548-MN.26A-07/2025
A,Mustela putorius furo,New South Wales,Australia,937,MN.26A,2023-06-14,A/Feral Ferret/AU-NSW/5JSGR.1-937-MN.26A-06/2023
A,Vulpes vulpes,Florida,USA,504,MN.26A,2024-05-11,A/Red Fox/US-FL/5BSG3.1-504-MN.26A-05/2024
A,Phasianus colchicus,Ontario,Canada,194,MN.26A,2023-07-09,A/Ring-necked Pheasant/CA-ON/4FWMN.1-194-MN.26A-07/2023
A,Bos taurus,Guangdong,China,768,MN.26A,2025-01-25,A/Domestic Cattle/CN-GD/MLQ5.1-768-MN.26A-01/2025
A,Cygnus olor,Yunnan,China,739,MN.26A,2024-03-18,A/Mute Swan/CN/32ZQB.1-739-MN.26A-03/2024
A,Meleagris gallopavo,,Vietnam,214,MN.26A,2025-01-19,A/Wild Turkey/VN/3ZDJV.1-214-MN.26A-01/2025
A,Gallus gallus,Victoria,Australia,226,MN.26A,2024-02-14,A/Red Junglefowl/AU-VIC/3F72J.1-226-MN.26A-02/2024
A,Cygnus olor,Rio Grande do Sul,Brazil,545,MN.26A,2025-02-09,A/Mute Swan/BR-RS/32ZQB.1-545-MN.26A-02/2025
A,Panthera tigris,,Vietnam,379,MN.26A,2025-06-19,A/Tiger/VN/4CGXS.1-379-MN.26A-06/2025
A,Panthera tigris,Washington,USA,828,MN.26A,2026-05-30,A/Tiger/US-WA/4CGXS.1-828-MN.26A-05/2026
A,Corvus corax,Alaska,USA,223,MN.26A,2024-09-21,A/Common Raven/US-AK/YNHG.1-223-MN.26A-09/2024
A,Canis lupus familiaris,Alaska,USA,299,MN.26A,2025-02-17,A/Domestic Dog/US-AK/5G6ZJ.1-299-MN.26A-02/2025
A,Cygnus olor,Normandy,France,464,MN.26A,2024-02-18,A/Mute Swan/FR-NOR/32ZQB.1-464-MN.26A-02/2024
A,Falco peregrinus,Normandy,France,371,MN.26A,2025-02-07,A/Peregrine Falcon/FR-NOR/3DTGL.1-371-MN.26A-02/2025
A,Equus caballus,Rio Grande do Sul,Brazil,771,MN.26A,2024-05-09,A/Domestic Horse/BR-RS/7TKN2.1-771-MN.26A-05/2024
A,Sus scrofa,,Vietnam,580,MN.26A,2023-10-23,A/Wild Boar/VN/53HGR.1-580-MN.26A-10/2023
A,Vulpes vulpes,Tuscany,Italy,752,MN.26A,2025-12-13,A/Red Fox/IT-52/5BSG3.1-752-MN.26A-12/2025
A,Gallus gallus domesticus,,Russia,721,MN.26A,2024-09-09,A/Chicken/RU/3F72J.1-721-MN.26A-09/2024
A,Corvus corax,Virginia,USA,777,MN.26A,2024-11-16,A/Common Raven/US-VA/YNHG.1-777-MN.26A-11/2024
A,Corvus corax,Tuscany,Italy,832,MN.26A,2023-08-15,A/Common Raven/IT-52/YNHG.1-832-MN.26A-08/2023
A,Gallus gallus,New York,USA,150,MN.26A,2023-03-01,A/Red Junglefowl/US-NY/3F72J.1-150-MN.26A-03/2023
A,Meleagris gallopavo,Florida,USA,259,MN.26A,2025-10-13,A/Wild Turkey/US-FL/3ZDJV.1-259-MN.26A-10/2025
A,Gallus gallus domesticus,,Vietnam,999,MN.26A,2025-05-31,A/Chicken/VN/3F72J.1-999-MN.26A-05/2025
A,Mustela putorius furo,British Columbia,Canada,898,MN.26A,2024-09-24,A/Feral Ferret/CA-BC/5JSGR.1-898-MN.26A-09/2024
A,Vulpes vulpes,Minnesota,USA,796,MN.26A,2023-02-17,A/Red Fox/US-MN/5BSG3.1-796-MN.26A-02/2023
A,Anas platyrhynchos,São Paulo,Brazil,821,MN.26A,2026-03-02,A/Wild Duck/BR-SP/DGP6.1-821-MN.26A-03/2026
A,Panthera tigris,Florida,USA,455,MN.26A,2025-08-06,A/Tiger/US-FL/4CGXS.1-455-MN.26A-08/2025
A,Anas platyrhynchos,Brittany,France,612,MN.26A,2025-09-26,A/Wild Duck/FR/DGP6.1-612-MN.26A-09/2025
A,Panthera tigris,England,UK,840,MN.26A,2025-11-16,A/Tiger/GB-ENG/4CGXS.1-840-MN.26A-11/2025
A,Felis catus,,Egypt,656,MN.26A,2026-02-17,A/Domestic Cat/EG/3DXV3.1-656-MN.26A-02/2026
A,Larus argentatus,Virginia,USA,543,MN.26A,2024-11-12,A/European Herring Gull/US-VA/3SBPN.1-543-MN.26A-11/2024
A,Canis lupus familiaris,Alberta,Canada,924,MN.26A,2023-05-07,A/Domestic Dog/CA-AB/5G6ZJ.1-924-MN.26A-05/2023
A,Vulpes vulpes,Alaska,USA,570,MN.26A,2025-02-21,A/Red Fox/US-AK/5BSG3.1-570-MN.26A-02/2025
A,Meleagris gallopavo,Minnesota,USA,300,MN.26A,2025-10-25,A/Wild Turkey/US-MN/3ZDJV.1-300-MN.26A-10/2025
A,Felis catus,Rio Grande do Sul,Brazil,386,MN.26A,2023-04-03,A/Domestic Cat/BR-RS/3DXV3.1-386-MN.26A-04/2023
A,Meleagris gallopavo,Manitoba,Canada,491,MN.26A,2025-07-25,A/Wild Turkey/CA-MB/3ZDJV.1-491-MN.26A-07/2025
A,Falco peregrinus,Virginia,USA,157,MN.26A,2023-04-18,A/Peregrine Falcon/US-VA/3DTGL.1-157-MN.26A-04/2023
A,Homo sapiens,Ontario,Canada,200,MN.26A,2023-08-03,A/CA-ON/6MB3T.1-200-MN.26A-08/2023
A,Cygnus olor,Normandy,France,324,MN.26A,2026-06-17,A/Mute Swan/FR-NOR/32ZQB.1-324-MN.26A-06/2026
A,Anas platyrhynchos,Osaka,Japan,878,MN.26A,2025-10-05,A/Wild Duck/JP-27/DGP6.1-878-MN.26A-10/2025
